replicate,feed rate,depth,finish,,,
1,0.2,0.15,74,,,
2,0.2,0.15,64,,,
3,0.2,0.15,60,,,
1,0.25,0.15,92,,,
2,0.25,0.15,86,,,
3,0.25,0.15,88,,,
1,0.3,0.15,99,,,
2,0.3,0.15,98,,,
3,0.3,0.15,102,,,
1,0.2,0.18,79,,,
2,0.2,0.18,68,,,
3,0.2,0.18,73,,,
1,0.25,0.18,98,,,
2,0.25,0.18,104,,,
3,0.25,0.18,88,,,
1,0.3,0.18,104,,,
2,0.3,0.18,99,,,
3,0.3,0.18,95,,,
1,0.2,0.2,82,,,
2,0.2,0.2,88,,,
3,0.2,0.2,92,,,
1,0.25,0.2,99,,,
2,0.25,0.2,108,,,
3,0.25,0.2,95,,,
1,0.3,0.2,108,,,
2,0.3,0.2,110,,,
3,0.3,0.2,99,,,
1,0.2,0.25,99,,,
2,0.2,0.25,104,,,
3,0.2,0.25,96,,,
1,0.25,0.25,104,,,
2,0.25,0.25,110,,,
3,0.25,0.25,99,,,
1,0.3,0.25,114,,,
2,0.3,0.25,111,,,
3,0.3,0.25,107,,,
