Putt,Putter,Break,Slope, Distance
10,Mallet,Straight,Level,10
10,Mallet,Straight,Level,18
10,Mallet,Straight,Level,14
10,Mallet,Straight,Level,12.5
10,Mallet,Straight,Level,19
10,Mallet,Straight,Level,16
10,Mallet,Straight,Level,18.5
30,Mallet,Straight,Level,0
30,Mallet,Straight,Level,16.5
30,Mallet,Straight,Level,4.5
30,Mallet,Straight,Level,17.5
30,Mallet,Straight,Level,20.5
30,Mallet,Straight,Level,17.5
30,Mallet,Straight,Level,33
10,Cavity back,Straight,Level,4
10,Cavity back,Straight,Level,6
10,Cavity back,Straight,Level,1
10,Cavity back,Straight,Level,14.5
10,Cavity back,Straight,Level,12
10,Cavity back,Straight,Level,14
10,Cavity back,Straight,Level,5
30,Cavity back,Straight,Level,0
30,Cavity back,Straight,Level,10
30,Cavity back,Straight,Level,34
30,Cavity back,Straight,Level,11
30,Cavity back,Straight,Level,25.5
30,Cavity back,Straight,Level,21.5
30,Cavity back,Straight,Level,0
10,Mallet,Breaking,Level,0
10,Mallet,Breaking,Level,0
10,Mallet,Breaking,Level,18.5
10,Mallet,Breaking,Level,19.5
10,Mallet,Breaking,Level,16
10,Mallet,Breaking,Level,15
10,Mallet,Breaking,Level,11
30,Mallet,Breaking,Level,5
30,Mallet,Breaking,Level,20.5
30,Mallet,Breaking,Level,18
30,Mallet,Breaking,Level,20
30,Mallet,Breaking,Level,29.5
30,Mallet,Breaking,Level,19
30,Mallet,Breaking,Level,10
10,Cavity back,Breaking,Level,6.5
10,Cavity back,Breaking,Level,18.5
10,Cavity back,Breaking,Level,7.5
10,Cavity back,Breaking,Level,6
10,Cavity back,Breaking,Level,0
10,Cavity back,Breaking,Level,10
10,Cavity back,Breaking,Level,0
30,Cavity back,Breaking,Level,16.5
30,Cavity back,Breaking,Level,4.5
30,Cavity back,Breaking,Level,0
30,Cavity back,Breaking,Level,23.5
30,Cavity back,Breaking,Level,8
30,Cavity back,Breaking,Level,8
30,Cavity back,Breaking,Level,8
10,Mallet,Straight,Downhill,4.5
10,Mallet,Straight,Downhill,18
10,Mallet,Straight,Downhill,14.5
10,Mallet,Straight,Downhill,10
10,Mallet,Straight,Downhill,0
10,Mallet,Straight,Downhill,17.5
10,Mallet,Straight,Downhill,6
30,Mallet,Straight,Downhill,19.5
30,Mallet,Straight,Downhill,18
30,Mallet,Straight,Downhill,16
30,Mallet,Straight,Downhill,5.5
30,Mallet,Straight,Downhill,10
30,Mallet,Straight,Downhill,7
30,Mallet,Straight,Downhill,36
10,Cavity back,Straight,Downhill,15
10,Cavity back,Straight,Downhill,16
10,Cavity back,Straight,Downhill,8.5
10,Cavity back,Straight,Downhill,0
10,Cavity back,Straight,Downhill,0.5
10,Cavity back,Straight,Downhill,9
10,Cavity back,Straight,Downhill,3
30,Cavity back,Straight,Downhill,41.5
30,Cavity back,Straight,Downhill,39
30,Cavity back,Straight,Downhill,6.5
30,Cavity back,Straight,Downhill,3.5
30,Cavity back,Straight,Downhill,7
30,Cavity back,Straight,Downhill,8.5
30,Cavity back,Straight,Downhill,36
10,Mallet,Breaking,Downhill,8
10,Mallet,Breaking,Downhill,4.5
10,Mallet,Breaking,Downhill,6.5
10,Mallet,Breaking,Downhill,10
10,Mallet,Breaking,Downhill,13
10,Mallet,Breaking,Downhill,41
10,Mallet,Breaking,Downhill,14
30,Mallet,Breaking,Downhill,21.5
30,Mallet,Breaking,Downhill,10.5
30,Mallet,Breaking,Downhill,6.5
30,Mallet,Breaking,Downhill,0
30,Mallet,Breaking,Downhill,15.5
30,Mallet,Breaking,Downhill,24
30,Mallet,Breaking,Downhill,16
10,Cavity back,Breaking,Downhill,0
10,Cavity back,Breaking,Downhill,0
10,Cavity back,Breaking,Downhill,0
10,Cavity back,Breaking,Downhill,4.5
10,Cavity back,Breaking,Downhill,1
10,Cavity back,Breaking,Downhill,4
10,Cavity back,Breaking,Downhill,6.5
30,Cavity back,Breaking,Downhill,18
30,Cavity back,Breaking,Downhill,5
30,Cavity back,Breaking,Downhill,7
30,Cavity back,Breaking,Downhill,10
30,Cavity back,Breaking,Downhill,32.5
30,Cavity back,Breaking,Downhill,18.5
30,Cavity back,Breaking,Downhill,8
