Run,1,2,3,4,Total,µ,?,A,B,C,D,E,F
1,0.0167,0.0128,0.0149,0.0185,629,157.25,24.418,55,10,5,1580,17.5,20
2,0.0062,0.0066,0.0044,0.002,192,48,20.976,75,10,5,1580,29,26
3,0.0041,0.0043,0.0042,0.005,176,44,4.083,55,25,5,1580,29,20
4,0.0073,0.0081,0.0039,0.003,223,55.75,25.025,75,25,5,1580,17.5,26
5,0.0047,0.0047,0.004,0.0089,223,55.75,22.41,55,10,10,1580,29,26
6,0.0219,0.0258,0.0147,0.0296,920,230,63.639,75,10,10,1580,17.5,20
7,0.0121,0.009,0.0092,0.0086,389,97.25,16.029,55,25,10,1580,17.5,26
8,0.0255,0.025,0.0226,0.0169,900,225,39.42,75,25,10,1580,29,20
9,0.0032,0.0023,0.0077,0.0069,201,50.25,26.725,55,10,5,1620,17.5,26
10,0.0078,0.0158,0.006,0.0045,341,85.25,50.341,75,10,5,1620,29,20
11,0.0043,0.0027,0.0028,0.0028,126,31.5,7.681,55,25,5,1620,29,26
12,0.0186,0.0137,0.0158,0.0159,640,160,20.083,75,25,5,1620,17.5,20
13,0.011,0.0086,0.0101,0.0158,455,113.75,31.12,55,10,10,1620,29,20
14,0.0065,0.0109,0.0126,0.0071,371,92.75,29.51,75,10,10,1620,17.5,26
15,0.0155,0.0158,0.0145,0.0145,603,150.75,6.75,55,25,10,1620,17.5,20
16,0.0093,0.0124,0.011,0.0133,460,115,17.45,75,25,10,1620,29,26
