,plots,r,FireAngle,BungeePosition,ReleaseAngle,PinElevation,CupElevation,Distance
1,101,1,110°,130mm,170°,125mm,275mm,234
2,102,1,90°,130mm,170°,175mm,275mm,185
3,103,1,110°,130mm,170°,175mm,275mm,307.5
4,104,1,90°,130mm,170°,125mm,225mm,123
5,105,1,110°,150mm,170°,175mm,275mm,343
6,106,1,90°,150mm,140°,175mm,275mm,156
7,107,1,110°,130mm,170°,175mm,225mm,233.5
8,108,1,90°,130mm,140°,125mm,275mm,121
9,109,1,90°,130mm,140°,175mm,225mm,108
10,110,1,110°,130mm,170°,125mm,225mm,229
11,111,1,90°,150mm,170°,175mm,275mm,192.5
12,112,1,110°,150mm,170°,125mm,275mm,260.5
13,113,1,110°,130mm,140°,125mm,275mm,132.5
14,114,1,90°,150mm,140°,125mm,225mm,101
15,115,1,110°,130mm,140°,125mm,225mm,99.5
16,116,1,90°,150mm,170°,125mm,275mm,166
17,117,1,110°,130mm,140°,175mm,275mm,175
18,118,1,110°,130mm,140°,175mm,225mm,129
19,119,1,90°,150mm,140°,125mm,275mm,128
20,120,1,90°,130mm,170°,175mm,225mm,141
21,121,1,90°,150mm,140°,175mm,225mm,121.5
22,122,1,90°,150mm,170°,175mm,225mm,148
23,123,1,110°,150mm,140°,125mm,225mm,110.5
24,124,1,110°,150mm,170°,175mm,225mm,260.5
25,125,1,90°,130mm,170°,125mm,275mm,159
26,126,1,90°,130mm,140°,125mm,225mm,95
27,127,1,110°,150mm,140°,175mm,225mm,145
28,128,1,110°,150mm,140°,175mm,275mm,191.5
29,129,1,90°,130mm,140°,175mm,275mm,139.5
30,130,1,110°,150mm,140°,125mm,275mm,151
31,131,1,90°,150mm,170°,125mm,225mm,127
32,132,1,110°,150mm,170°,125mm,225mm,197.5
